epoch,itr,loss,time (ms)
epoch,itr,loss,time (ms)
epoch,itr,loss,time (ms)
epoch,itr,loss,time (ms)
epoch,itr,loss,time (ms)
epoch,itr,loss,time (ms)
1,0,0.46154,-1
epoch,itr,loss,time (ms)
1,0,0.46154,-1
1,1,0.42824,-1
1,2,0.40498,-1
1,3,0.38285,-1
1,4,0.36477,-1
1,5,0.34904,-1
1,6,0.33959,-1
1,7,0.32763,-1
1,8,0.31811,-1
1,9,0.31108,-1
1,10,0.30147,-1
1,11,0.28815,-1
1,12,0.28026,-1
1,13,0.27281,-1
1,14,0.26076,-1
1,15,0.25669,-1
1,16,0.24683,-1
1,17,0.23841,-1
1,18,0.23133,-1
1,19,0.22526,-1
1,20,0.21954,-1
1,21,0.21494,-1
1,22,0.20568,-1
1,23,0.20547,-1
1,24,0.19611,-1
1,25,0.18832,-1
1,26,0.18657,-1
1,27,0.18639,-1
1,28,0.18083,-1
1,29,0.17400,-1
1,30,0.16934,-1
1,31,0.16991,-1
1,32,0.16942,-1
1,33,0.16275,-1
1,34,0.15908,-1
1,35,0.15460,-1
1,36,0.15040,-1
1,37,0.15074,-1
